,,,,,,,,,,,,,,
Name:,Wood:,Stone:,Metal:,Gold:,Prom:,Health:,Type:,Limit:,Notes:,,,,,
Small House,,,,,,,,,,,,,,
Tier 1,"40,000","55,000","5,000",150,N/A,"3,000,000",Stone,N/A,,,,,,
Tier 2,"20,000","27,500","2,500",150,N/A,"4,000,000",Stone,N/A,,,,,,
Tier 3,"20,000","27,500","2,500",150,N/A,"5,000,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Medium House,,,,,,,,,,,,,,
Tier 1,"60,000","82,500","7,500",300,N/A,"4,000,000",Stone,N/A,,,,,,
Tier 2,"20,000","30,000","3,750",300,N/A,"5,500,000",Stone,N/A,,,,,,
Tier 3,"40,000","37,500","3,750",300,N/A,"7,000,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Stronghold,,,,,,,,,,,,,,
Tier 1,"40,000","600,000","20,000","2,500",N/A,"8,000,000",Stone,N/A,,,,,,
Tier 2,"20,000","300,000","10,000","2,000",N/A,"10,000,000",Stone,N/A,,,,,,
Tier 3,"20,000","300,000","10,000","2,000",N/A,"12,000,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Castle,,,,,,,,,,,,,,
Tier 1,"80,000","1,200,000","40,000","5,000",N/A,"15,000,000",Stone,N/A,,,,,,
Tier 2,"20,000","300,000","10,000","5,000",N/A,"20,000,000",Stone,N/A,,,,,,
Tier 3,"20,000","300,000","10,000","4,000",N/A,"25,000,000",Stone,N/A,,,,,,
Gate,"1,800","15,000",100,N/A,N/A,"1,000,000",Stone,N/A,,,,,,
Gate Expansion,"1,800","15,000",100,100,N/A,"1,000,000",Stone,N/A,,,,,,
Wall,"1,800","20,000",800,N/A,N/A,"3,000,000",Stone,N/A,,,,,,
Wall Tower Tier 2,"1,800","20,000",800,75,N/A,"4,000,000",Stone,N/A,,,,,,
Wall Corner Tier 2,"1,800","20,000",800,100,N/A,"4,000,000",Stone,N/A,,,,,,
,,,,,,,,,,,,,,
Alchemist Apotheca,,,,,,,,,,,,,,
Tier 1,"36,000","74,000",500,160,"1,000","280,000",Stone,N/A,Vial Vendor (Click to see inventory),,,,,
Tier 2,"18,000","152,500","1,100",340,"2,500","540,000",Stone,N/A,"Vial Vendor, Hebologium, & Press (Click to see inventory)",,,,,
Tier 3,"34,200","103,500","2,200",800,"5,000","680,000",Stone,N/A,"Vial Vendor, Fabricula, Hebologium, & Press (Click to see inventory)",,,,,
,,,,,,,,,,,,,,
Alert Tower,,,,,,,,,,,,,,
